Gene,Description,De novo PTV Cases,De novo PTV Controls,De novo MisA Cases,De novo MisA Controls,De novo MisB Cases,De novo MisB Controls,DBS PTV Cases,DBS PTV controls,SWE PTV Cases,SWE PTV Controls,Transmitted,Untransmitted,Q‑Val
ENSG00000095787,WW domain containing adaptor with coiled-coil,3,0,0,0,0,0,0,0,0,0,0,0,0.00040864
ENSG00000162105,SH3 and multiple ankyrin repeat domains 2,3,0,0,1,0,0,2,0,0,0,0,0,0.00054203
ENSG00000179915,neurexin 1,3,0,1,0,0,0,1,0,0,0,1,0,0.00067145
ENSG00000177565,TBL1X receptor 1,2,0,0,0,1,0,1,0,0,0,0,0,0.00087038
ENSG00000119772,DNA methyltransferase 3 alpha,2,0,4,0,1,0,1,0,0,0,1,1,0.0011097
ENSG00000186487,myelin transcription factor 1 like,2,0,0,0,2,0,1,0,0,0,0,0,0.0013663
ENSG00000119866,BAF chromatin remodeling complex subunit BCL11A,3,0,0,0,0,0,0,0,0,0,0,0,0.0016269
ENSG00000198963,RAR related orphan receptor B,2,0,0,0,1,0,0,0,0,0,0,0,0.0019924
ENSG00000108557,retinoic acid induced 1,2,1,0,0,0,0,3,0,0,0,0,0,0.002348
ENSG00000197102,dynein cytoplasmic 1 heavy chain 1,1,0,3,0,4,0,7,0,0,0,1,0,0.002727
ENSG00000092964,dihydropyrimidinase like 2,0,0,0,0,3,0,0,0,0,0,0,0,0.0032433
ENSG00000042753,adaptor related protein complex 2 subunit sigma 1,0,0,0,0,2,0,2,0,0,0,0,0,0.0038813
ENSG00000055609,lysine methyltransferase 2C,4,0,3,0,1,0,1,0,0,0,1,0,0.0044888
ENSG00000196092,paired box 5,2,0,0,0,0,0,1,0,0,0,0,0,0.0051072
ENSG00000150051,mohawk homeobox,0,0,0,0,2,0,1,0,0,0,0,0,0.005936
ENSG00000166206,gamma-aminobutyric acid type A receptor subunit beta3,1,0,2,0,0,0,1,0,0,0,0,0,0.0067491
ENSG00000169375,SIN3 transcription regulator family member A,2,0,0,0,1,0,1,0,0,0,0,0,0.0075843
ENSG00000204406,methyl-CpG binding domain protein 5,2,0,0,0,0,0,1,0,0,0,1,0,0.0084579
ENSG00000166963,microtubule associated protein 1A,0,0,0,0,0,0,7,0,0,0,0,2,0.0093094
ENSG00000136854,syntaxin binding protein 1,0,0,0,0,3,0,0,0,0,0,0,0,0.010136
ENSG00000101489,CUGBP Elav-like family member 4,2,0,1,0,0,0,0,0,0,0,0,0,0.010945
ENSG00000109118,PHD finger protein 12,2,0,0,0,0,0,1,0,0,0,0,1,0.011818
ENSG00000136535,T-box brain transcription factor 1,2,0,0,0,0,0,2,1,0,0,0,0,0.012865
ENSG00000112640,"protein phosphatase 2 regulatory subunit B'delta",1,0,0,0,2,0,0,0,0,0,0,1,0.013902
ENSG00000101337,transmembrane 9 superfamily member 4,0,0,0,0,1,0,4,0,0,0,0,0,0.015041
ENSG00000135365,PHD finger protein 21A,2,0,0,0,0,0,0,0,0,0,1,0,0.016246
ENSG00000126464,proline rich 12,2,0,0,0,0,0,1,0,0,0,0,0,0.017462
ENSG00000157933,SKI proto-oncogene,2,0,0,0,0,0,1,2,0,0,1,0,0.018661
ENSG00000141431,ASXL transcriptional regulator 3,2,0,0,0,0,0,3,1,1,0,0,0,0.019951
ENSG00000021574,spastin,2,0,0,0,0,0,0,1,0,0,0,0,0.021204
ENSG00000139613,"SWI/SNF related, matrix associated, actin dependent regulator of chromatin subfamily c member 2",2,0,0,0,0,0,2,0,0,0,1,0,0.022421
ENSG00000153827,thyroid hormone receptor interactor 12,2,0,0,0,2,0,1,0,0,0,0,1,0.023599
ENSG00000005339,CREB binding protein,0,0,4,0,1,0,0,2,2,0,0,0,0.024748
ENSG00000196628,transcription factor 4,2,0,0,0,0,0,0,0,0,0,0,0,0.025878
ENSG00000198216,calcium voltage-gated channel subunit alpha1 E,0,0,4,1,1,0,2,1,1,0,0,0,0.027212
ENSG00000127955,G protein subunit alpha i1,0,0,0,0,2,0,0,0,0,0,0,0,0.028567
ENSG00000100207,transcription factor 20,2,0,0,0,0,0,1,0,0,0,0,0,0.029926
ENSG00000128573,forkhead box P2,1,0,0,0,1,0,0,0,1,0,0,0,0.031263
ENSG00000165671,nuclear receptor binding SET domain protein 1,0,0,0,1,2,0,3,0,0,0,0,0,0.032601
ENSG00000148737,transcription factor 7 like 2,2,0,0,0,0,0,0,1,0,1,2,0,0.033915
ENSG00000198728,LIM domain binding 1,2,0,0,0,0,0,1,1,0,0,0,0,0.035351
ENSG00000130811,eukaryotic translation initiation factor 3 subunit G,0,1,2,0,1,0,0,0,0,0,0,0,0.036816
ENSG00000197724,PHD finger protein 2,2,0,0,0,0,0,0,0,0,0,1,0,0.038341
ENSG00000170871,KIAA0232,2,0,0,0,0,0,0,0,0,0,0,0,0.039918
ENSG00000136451,vascular endothelial zinc finger 1,0,0,0,0,1,0,3,0,0,0,0,0,0.041516
ENSG00000131095,glial fibrillary acidic protein,0,0,3,0,0,0,0,0,0,3,1,0,0.043099
ENSG00000119669,interferon regulatory factor 2 binding protein like,1,0,0,0,1,0,0,0,0,0,0,0,0.044681
ENSG00000101040,zinc finger MYND-type containing 8,2,0,0,0,0,0,1,2,0,0,0,1,0.046233
ENSG00000182568,SATB homeobox 1,1,0,1,0,0,0,2,0,1,0,1,1,0.047806
ENSG00000080298,regulatory factor X3,1,0,0,1,1,0,2,0,0,0,0,0,0.049414
ENSG00000144285,sodium voltage-gated channel alpha subunit 1,0,0,4,0,0,1,0,0,0,0,0,0,0.05099
ENSG00000011485,protein phosphatase 5 catalytic subunit,0,0,3,0,0,0,0,0,0,0,0,0,0.052664
ENSG00000113595,tripartite motif containing 23,0,0,1,0,1,0,2,0,1,1,0,1,0.054531
ENSG00000131653,TNF receptor associated factor 7,0,0,1,0,2,0,0,0,0,0,1,1,0.056354
ENSG00000196361,ELAV like RNA binding protein 3,0,0,0,0,2,0,0,0,0,0,0,0,0.058325
ENSG00000120251,glutamate ionotropic receptor AMPA type subunit 2,1,0,1,0,1,0,1,0,0,0,0,0,0.060455
ENSG00000148948,leucine rich repeat containing 4C,0,0,1,0,1,0,1,0,0,0,0,0,0.062549
ENSG00000157445,calcium voltage-gated channel auxiliary subunit alpha2delta 3,2,0,0,0,0,0,0,0,0,1,1,0,0.064615
ENSG00000113569,nucleoporin 155,0,0,0,0,0,0,4,0,1,0,2,1,0.066696
ENSG00000005483,lysine methyltransferase 2E (inactive),2,0,0,1,0,0,1,0,0,0,0,1,0.068811
ENSG00000151623,nuclear receptor subfamily 3 group C member 2,1,0,0,0,0,0,3,0,0,0,1,0,0.070932
ENSG00000160877,nucleus accumbens associated 1,1,0,0,0,0,0,2,0,0,0,0,0,0.073021
ENSG00000112655,protein tyrosine kinase 7 (inactive),1,0,1,0,1,0,0,1,0,0,0,1,0.075174
ENSG00000108819,protein phosphatase 1 regulatory subunit 9B,0,0,1,0,2,0,0,1,0,0,0,0,0.077284
ENSG00000145864,gamma-aminobutyric acid type A receptor subunit beta2,0,0,1,0,1,0,1,0,1,0,0,0,0.079485
ENSG00000115677,high density lipoprotein binding protein,0,0,3,0,0,0,1,0,0,0,1,0,0.081652
ENSG00000160551,TAO kinase 1,2,0,0,0,1,0,0,0,0,0,1,0,0.083797
ENSG00000159459,ubiquitin protein ligase E3 component n-recognin 1,0,0,0,0,0,0,6,0,1,0,4,0,0.085915
ENSG00000120156,TEK receptor tyrosine kinase,0,0,1,0,0,0,2,0,1,0,0,1,0.087996
ENSG00000156113,potassium calcium-activated channel subfamily M alpha 1,0,0,0,0,3,0,0,1,0,0,0,0,0.090116
ENSG00000102879,coronin 1A,0,0,0,0,2,0,0,0,0,0,1,0,0.092195
ENSG00000173064,HECT domain E3 ubiquitin protein ligase 4,1,0,0,0,1,0,2,0,3,1,1,1,0.09435
ENSG00000084676,nuclear receptor coactivator 1,1,0,1,0,0,0,2,0,0,0,0,1,0.096527
ENSG00000160305,disco interacting protein 2 homolog A,2,0,1,0,0,0,0,1,2,2,3,0,0.098698
ENSG00000141646,SMAD family member 4,0,0,0,0,2,0,0,0,0,0,0,0,0.10085
ENSG00000198218,glutamine rich 1,1,0,0,0,0,0,1,0,1,0,0,1,0.10304
ENSG00000170921,"tetratricopeptide repeat, ankyrin repeat and coiled-coil containing 2",2,0,0,0,0,0,1,0,1,0,1,0,0.1052
ENSG00000154928,EPH receptor B1,1,0,2,1,0,0,1,0,0,1,2,0,0.10735
ENSG00000108001,EBF transcription factor 3,1,0,1,0,0,0,1,0,0,0,0,0,0.10947
ENSG00000196712,neurofibromin 1,3,0,0,1,1,0,2,0,0,1,1,2,0.11156
ENSG00000138411,"HECT, C2 and WW domain containing E3 ubiquitin protein ligase 2",0,0,0,0,2,0,0,0,0,2,1,0,0.11363
ENSG00000166477,"LEO1 homolog, Paf1/RNA polymerase II complex component",1,0,0,0,0,0,1,0,1,0,1,0,0.11574
ENSG00000149571,kirre like nephrin family adhesion molecule 3,0,0,3,0,0,0,1,2,0,0,0,0,0.11784
ENSG00000163625,WD repeat and FYVE domain containing 3,2,0,1,0,1,0,2,0,2,0,5,4,0.11992
ENSG00000178175,zinc finger protein 366,1,0,1,0,0,0,1,0,0,0,2,0,0.12198
ENSG00000128594,leucine rich repeat containing 4,1,0,1,0,0,0,1,0,0,0,1,0,0.12406
ENSG00000112739,pre-mRNA processing factor 4B,2,0,0,0,0,0,0,0,0,0,0,0,0.12611
ENSG00000038382,trio Rho guanine nucleotide exchange factor,1,0,1,0,1,0,4,0,0,0,1,0,0.12817
ENSG00000186472,piccolo presynaptic cytomatrix protein,0,0,0,0,0,0,2,0,2,0,2,1,0.13021
ENSG00000100150,"DEP domain containing 5, GATOR1 subcomplex subunit",0,0,0,0,0,0,4,0,0,0,2,0,0.13226
ENSG00000061676,NCK associated protein 1,2,0,0,0,0,0,0,0,0,0,0,0,0.13432
ENSG00000168256,NFKB inhibitor interacting Ras like 2,0,0,2,0,0,0,0,0,1,0,2,1,0.13645
ENSG00000138802,"SEC24 homolog B, COPII coat complex component",0,0,0,0,0,0,4,0,0,0,0,1,0.13854
ENSG00000015171,zinc finger MYND-type containing 11,1,0,0,0,0,0,2,0,0,0,0,0,0.14067
ENSG00000151090,thyroid hormone receptor beta,1,0,0,0,0,0,1,0,0,0,1,0,0.14287
ENSG00000138650,protocadherin 10,1,0,0,0,0,0,2,0,0,0,1,0,0.14506
ENSG00000100722,zinc finger CCCH-type containing 14,1,0,0,0,0,0,2,0,0,0,0,0,0.14721
ENSG00000100330,myotubularin related protein 3,0,0,0,0,0,0,4,0,0,0,0,1,0.14935
ENSG00000134186,pre-mRNA processing factor 38B,1,0,0,0,0,0,2,0,0,0,0,0,0.15145
ENSG00000143776,CDC42 binding protein kinase alpha,0,0,1,0,0,0,2,0,1,0,2,4,0.15354
ENSG00000164134,"N-alpha-acetyltransferase 15, NatA auxiliary subunit",1,0,1,0,0,0,1,0,0,0,0,0,0.15565
ENSG00000173276,zinc finger and BTB domain containing 21,0,0,0,0,0,0,3,0,1,0,2,2,0.15775
ENSG00000108582,carboxypeptidase D,2,0,0,0,0,0,3,1,0,1,2,0,0.15981
ENSG00000115524,splicing factor 3b subunit 1,0,0,2,1,2,0,0,0,0,0,0,0,0.16185
ENSG00000040731,cadherin 10,1,0,2,0,0,0,0,0,0,1,2,1,0.16388
ENSG00000065883,cyclin dependent kinase 13,0,0,0,0,2,0,1,0,0,0,0,0,0.16595
ENSG00000088899,leucine zipper tumor suppressor family member 3,1,0,0,0,1,0,1,0,0,0,0,0,0.16802
ENSG00000131165,charged multivesicular body protein 1A,0,0,2,0,0,0,0,0,0,1,0,0,0.17005
ENSG00000181722,zinc finger and BTB domain containing 20,1,0,0,0,0,0,1,0,0,0,0,1,0.17207
ENSG00000198597,zinc finger protein 536,0,0,0,0,0,0,4,0,0,0,0,0,0.17405
ENSG00000076984,mitogen-activated protein kinase kinase 7,1,0,1,0,0,0,0,0,0,0,0,0,0.17602
ENSG00000185000,diacylglycerol O-acyltransferase 1,0,0,2,0,0,0,0,0,0,0,3,1,0.17798
ENSG00000175087,PDLIM1 interacting kinase 1 like,0,0,2,0,0,0,0,0,0,0,0,0,0.17995
ENSG00000100075,solute carrier family 25 member 1,1,0,0,0,0,0,2,0,0,0,0,0,0.1819
ENSG00000172845,Sp3 transcription factor,0,0,2,0,0,0,0,0,0,0,1,0,0.18383
ENSG00000096384,heat shock protein 90 alpha family class B member 1,1,0,0,0,0,0,1,0,0,0,1,0,0.18575
ENSG00000196296,ATPase sarcoplasmic/endoplasmic reticulum Ca2+ transporting 1,0,0,3,1,0,0,2,4,0,2,5,4,0.18766
ENSG00000136448,N-myristoyltransferase 1,1,0,1,0,0,0,0,0,0,0,0,0,0.18954
ENSG00000088367,erythrocyte membrane protein band 4.1 like 1,0,0,2,0,0,0,0,0,1,0,1,0,0.19141
ENSG00000080503,"SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily a, member 2",0,0,0,0,2,0,1,0,1,0,1,0,0.19326
ENSG00000082701,glycogen synthase kinase 3 beta,1,0,1,0,0,0,0,0,0,0,0,1,0.19508
ENSG00000079102,RUNX1 partner transcriptional co-repressor 1,1,0,0,0,0,0,1,0,0,0,0,0,0.1969
ENSG00000137193,"Pim-1 proto-oncogene, serine/threonine kinase",0,0,0,0,1,0,1,0,0,0,0,0,0.1987
ENSG00000023902,pleckstrin homology domain containing O1,1,0,0,0,0,0,1,0,0,0,0,0,0.2005
ENSG00000214022,replication initiator 1,1,0,1,0,0,0,1,0,0,0,0,0,0.20229
ENSG00000170315,ubiquitin B,1,0,1,0,0,0,0,2,0,0,0,2,0.20405
ENSG00000198719,delta like canonical Notch ligand 1,1,0,0,0,0,0,1,0,0,0,0,0,0.2058
ENSG00000197170,"proteasome 26S subunit, non-ATPase 12",1,0,1,0,0,0,0,0,0,0,0,0,0.20752
ENSG00000087085,acetylcholinesterase (Cartwright blood group),0,0,2,0,1,0,0,0,0,0,0,0,0.20923
ENSG00000152601,muscleblind like splicing regulator 1,0,0,2,0,0,0,0,0,0,0,0,0,0.21092
ENSG00000151693,"ArfGAP with SH3 domain, ankyrin repeat and PH domain 2",0,0,0,0,1,0,2,0,0,0,2,1,0.21262
ENSG00000161526,SAP30 binding protein,0,0,0,0,1,0,2,1,0,1,0,1,0.21429
ENSG00000114933,INO80 complex subunit D,0,0,1,0,0,0,3,0,0,0,0,0,0.21597
ENSG00000136574,GATA binding protein 4,0,0,1,0,1,0,1,0,0,0,0,0,0.21764
ENSG00000198780,family with sequence similarity 169 member A,1,0,0,0,0,0,0,0,1,0,1,0,0.21929
ENSG00000215421,zinc finger protein 407,0,1,0,0,1,0,2,0,0,0,0,0,0.22093
ENSG00000155380,solute carrier family 16 member 1,1,0,1,0,0,0,1,1,0,0,0,0,0.22255
ENSG00000066322,ELOVL fatty acid elongase 1,0,0,2,0,0,0,0,0,0,0,0,0,0.22416
ENSG00000206203,testis specific serine kinase 2,0,0,2,0,0,0,0,0,0,0,1,0,0.22575
ENSG00000146006,leucine rich repeat transmembrane neuronal 2,1,0,0,0,0,0,1,0,0,0,0,0,0.22735
ENSG00000166313,amyloid beta precursor protein binding family B member 1,1,0,0,0,0,0,1,0,0,0,1,0,0.22894
ENSG00000072803,F-box and WD repeat domain containing 11,1,0,1,0,0,0,0,0,0,0,1,0,0.23052
ENSG00000161202,dishevelled segment polarity protein 3,1,0,0,0,0,0,1,0,0,0,3,0,0.2321
ENSG00000196843,AT-rich interaction domain 5A,0,0,0,0,1,0,1,0,0,0,0,0,0.23368
ENSG00000184408,potassium voltage-gated channel subfamily D member 2,1,0,0,0,0,0,1,0,0,0,0,0,0.23528
ENSG00000213923,casein kinase 1 epsilon,0,0,2,0,0,0,0,0,0,0,1,0,0.23688
ENSG00000094880,cell division cycle 23,1,0,1,0,0,0,0,0,0,1,0,0,0.23847
ENSG00000092148,HECT domain E3 ubiquitin protein ligase 1,1,0,0,0,1,0,1,1,0,1,1,0,0.24008
ENSG00000105926,membrane palmitoylated protein 6,1,0,1,0,0,0,0,1,0,0,1,0,0.24168
ENSG00000175727,MLX interacting protein,1,0,0,1,0,0,1,0,0,0,0,0,0.24327
ENSG00000163479,signal sequence receptor subunit 2,1,0,0,0,0,0,0,0,1,0,0,1,0.24485
ENSG00000167658,eukaryotic translation elongation factor 2,1,0,0,0,0,0,1,0,0,0,0,0,0.24641
ENSG00000178385,pleckstrin homology domain containing M3,0,0,0,0,0,0,4,0,0,0,1,3,0.24796
ENSG00000143207,COP1 E3 ubiquitin ligase,0,0,1,0,1,0,0,0,0,1,0,0,0.2495
ENSG00000171044,XK related 6,1,0,0,0,0,0,1,0,0,0,0,0,0.25103
ENSG00000141956,PR/SET domain 15,0,0,0,0,0,0,3,0,1,0,2,1,0.25256
ENSG00000114982,KAT8 regulatory NSL complex subunit 3,0,0,0,0,1,0,1,0,0,0,0,0,0.25408
ENSG00000108510,mediator complex subunit 13,2,0,0,0,0,0,1,0,0,0,0,0,0.2556
ENSG00000130226,dipeptidyl peptidase like 6,0,0,1,0,0,0,3,0,0,0,0,2,0.2571
ENSG00000137075,ring finger protein 38,1,0,0,0,0,0,1,0,0,0,2,1,0.25859
ENSG00000158796,death effector domain containing,0,0,0,0,1,0,1,0,0,0,0,0,0.26009
ENSG00000115421,poly(A) polymerase gamma,0,0,2,0,0,0,0,0,0,0,1,1,0.26157
ENSG00000073712,fermitin family member 2,1,0,1,0,0,0,0,0,0,0,0,0,0.26304
ENSG00000161217,"phosphate cytidylyltransferase 1, choline, alpha",2,0,0,0,0,1,0,1,0,1,2,6,0.2645
ENSG00000116604,myocyte enhancer factor 2D,0,0,0,1,1,0,1,0,0,0,0,0,0.26595
ENSG00000184232,out at first homolog,0,0,2,0,0,0,0,0,0,3,0,0,0.26739
ENSG00000162959,mediator of cell motility 1,1,0,0,0,0,0,0,0,1,0,0,0,0.26881
ENSG00000072134,epsin 2,0,0,2,0,0,0,0,0,0,1,0,0,0.27023
ENSG00000125730,complement C3,0,0,3,0,0,0,1,2,0,0,0,2,0.27163
ENSG00000162104,adenylate cyclase 9,1,0,0,0,0,0,2,1,1,0,0,1,0.27302
ENSG00000197535,myosin VA,0,0,2,0,1,0,1,0,0,1,0,2,0.27442
ENSG00000084731,kinesin family member 3C,1,0,0,0,0,0,1,0,0,0,0,0,0.27581
ENSG00000179010,Morf4 family associated protein 1,0,0,0,0,1,0,0,0,0,0,0,0,0.27719
ENSG00000174485,DENN domain containing 4A,0,0,0,0,1,0,0,1,0,0,1,0,0.27856
ENSG00000135250,SRSF protein kinase 2,1,0,0,0,1,0,0,0,0,1,0,0,0.27991
ENSG00000150347,AT-rich interaction domain 5B,1,0,0,0,0,0,1,0,0,0,0,0,0.28126
ENSG00000070808,calcium/calmodulin dependent protein kinase II alpha,0,0,0,0,2,0,0,0,0,0,1,0,0.2826
ENSG00000141367,clathrin heavy chain,2,0,0,0,0,0,0,0,0,0,0,0,0.28394
ENSG00000018189,RUN and FYVE domain containing 3,0,0,1,0,1,0,0,0,0,0,0,1,0.28528
ENSG00000172780,"RAB43, member RAS oncogene family",0,0,1,0,1,0,0,0,0,0,0,0,0.28663
ENSG00000196531,nascent polypeptide associated complex subunit alpha,0,0,0,0,1,0,0,1,0,0,0,0,0.28796
ENSG00000102974,CCCTC-binding factor,1,0,0,0,1,0,0,0,0,0,0,0,0.28931
ENSG00000107485,GATA binding protein 3,0,0,0,0,1,0,0,0,0,0,0,0,0.29064
ENSG00000112078,potassium channel tetramerization domain containing 20,0,0,1,0,0,0,2,0,1,0,2,2,0.29196
ENSG00000156395,sortilin related VPS10 domain containing receptor 3,1,0,0,0,0,0,3,0,0,0,1,0,0.29328
ENSG00000189056,reelin,2,0,2,0,0,0,3,1,0,0,4,0,0.2946
ENSG00000162599,nuclear factor I A,1,0,1,0,0,0,0,0,0,0,0,0,0.29592
ENSG00000151150,ankyrin 3,0,0,0,0,0,0,3,0,0,0,1,0,0.29724
ENSG00000080802,CCR4-NOT transcription complex subunit 4,0,0,2,0,0,0,0,0,0,0,0,0,0.29856
ENSG00000141837,calcium voltage-gated channel subunit alpha1 A,0,0,1,0,0,0,3,0,0,0,0,0,0.29987
ENSG00000036257,cullin 3,1,0,1,0,0,0,0,0,0,0,0,0,0.30117
ENSG00000088812,attractin,0,0,0,0,0,0,3,0,0,0,1,1,0.30246
ENSG00000181090,euchromatic histone lysine methyltransferase 1,1,0,0,0,0,0,1,0,2,0,1,0,0.30375
ENSG00000088038,CCR4-NOT transcription complex subunit 3,1,0,0,0,1,1,1,0,0,0,0,0,0.30503
ENSG00000100354,trinucleotide repeat containing adaptor 6B,2,0,0,0,0,0,2,2,1,0,0,0,0.3063
ENSG00000104435,stathmin 2,0,0,0,0,1,0,0,0,0,0,0,0,0.30757
ENSG00000163104,"SWI/SNF-related, matrix-associated actin-dependent regulator of chromatin, subfamily a, containing DEAD/H box 1",0,0,0,0,0,0,3,0,0,0,0,0,0.30883
ENSG00000143816,Wnt family member 9A,1,0,0,0,0,0,1,0,0,0,0,0,0.31008
ENSG00000078687,trinucleotide repeat containing adaptor 6C,0,0,0,0,0,0,3,0,0,0,1,1,0.31132
ENSG00000108509,calmodulin binding transcription activator 2,0,1,0,0,0,0,3,0,0,0,1,1,0.31255
ENSG00000018236,contactin 1,0,0,0,1,0,0,3,0,0,0,0,1,0.31378
ENSG00000138398,peptidylprolyl isomerase G,0,0,1,0,0,0,1,0,1,0,1,0,0.31501
ENSG00000126705,AT-hook DNA binding motif containing 1,1,0,0,0,0,0,1,0,0,0,0,0,0.31623
ENSG00000143365,RAR related orphan receptor C,0,0,2,0,0,0,0,0,0,0,1,0,0.31744
ENSG00000123636,bromodomain adjacent to zinc finger domain 2B,1,0,0,1,0,0,2,0,1,0,2,2,0.31865
ENSG00000107164,far upstream element binding protein 3,1,0,0,0,0,0,1,0,0,0,1,0,0.31986
ENSG00000115504,EH domain binding protein 1,0,0,0,0,0,0,1,0,2,0,2,1,0.32107
ENSG00000022355,gamma-aminobutyric acid type A receptor subunit alpha1,0,0,1,0,0,0,2,0,0,0,0,0,0.32226
ENSG00000119042,SATB homeobox 2,0,0,1,0,1,0,2,0,0,0,0,0,0.32345
ENSG00000159256,MORC family CW-type zinc finger 3,1,0,1,0,0,0,0,0,0,0,1,0,0.32463
ENSG00000179981,teashirt zinc finger homeobox 1,1,0,1,0,0,0,0,1,0,0,3,0,0.32581
ENSG00000107560,RAB11 family interacting protein 2,0,0,0,0,1,0,0,0,0,0,2,0,0.32699
ENSG00000250571,GLI family zinc finger 4,0,0,2,0,0,0,0,0,0,1,2,0,0.32816
ENSG00000107105,ELAV like RNA binding protein 2,1,0,0,0,0,0,0,0,0,0,0,0,0.32933
ENSG00000070367,exocyst complex component 5,0,0,1,0,0,0,1,0,1,0,0,0,0.3305
ENSG00000188191,protein kinase cAMP-dependent type I regulatory subunit beta,1,0,0,0,1,0,0,0,0,0,0,0,0.33165
ENSG00000127804,methyltransferase like 16,0,0,0,0,1,0,1,0,0,0,0,2,0.33281
ENSG00000165868,heat shock protein family A (Hsp70) member 12A,0,0,2,0,0,0,2,1,0,0,0,0,0.33395
ENSG00000104388,"RAB2A, member RAS oncogene family",1,0,0,0,0,0,0,0,0,0,1,0,0.3351
ENSG00000198742,SMAD specific E3 ubiquitin protein ligase 1,1,0,0,1,0,0,1,0,0,0,0,0,0.33624
ENSG00000244462,RNA binding motif protein 12,0,0,0,0,0,0,3,0,1,0,0,1,0.33737
ENSG00000138443,abl interactor 2,0,0,2,0,0,0,0,0,0,1,0,0,0.3385
ENSG00000009335,ubiquitin protein ligase E3C,0,0,1,0,1,0,0,0,0,0,0,0,0.33962
ENSG00000043143,jade family PHD finger 2,1,0,1,0,0,0,1,4,0,0,0,0,0.34073
ENSG00000140350,acidic nuclear phosphoprotein 32 family member A,1,0,0,0,0,0,0,0,0,0,0,0,0.34183
ENSG00000220205,vesicle associated membrane protein 2,0,0,0,0,1,0,0,0,0,0,0,0,0.34294
ENSG00000100243,cytochrome b5 reductase 3,0,0,0,0,0,0,5,0,0,0,1,2,0.34404
ENSG00000171617,ectodermal-neural cortex 1,1,0,0,0,0,0,2,1,0,0,0,2,0.34513
ENSG00000128203,aspartate beta-hydroxylase domain containing 2,0,0,2,0,0,0,0,0,0,0,0,0,0.34623
ENSG00000151883,poly(ADP-ribose) polymerase family member 8,0,0,0,0,1,0,1,1,0,0,0,0,0.34732
