Gene,Description,Case PTV,Control PTV,Case Missense (MPC ≥ 3),Control Missense (MPC ≥ 3),Case Missense (2 ≤ MPC < 3),Control Missense (2 ≤ MPC < 3),De novo PTV,De Novo Missense (MPC ≥ 3),De Novo Missense (2 ≤ MPC < 3),P meta,Q meta,OR (Class I),OR (Class II)
ENSG00000095321,carnitine O-acetyltransferase,20,22,0,0,0,0,,,,0.000401,0.179,3.65,
ENSG00000103148,"NPR3 like, GATOR1 complex subunit",5,5,0,0,0,0,1,,,0.000412,0.179,4.01,
ENSG00000126461,SR-related CTD associated factor 1,6,4,0,0,0,0,1,,,0.000415,0.179,6.02,
ENSG00000186732,metallophosphoesterase domain containing 1,5,3,0,0,1,10,,,1,0.000463,0.188,6.69,0.803
ENSG00000157765,solute carrier family 34 member 2,20,31,0,0,0,0,,,,0.000479,0.188,2.59,
ENSG00000171467,zinc finger protein 318,18,30,0,0,0,0,1,,,0.000479,0.188,2.54,
ENSG00000138028,cell growth regulator with EF-hand domain 1,20,33,0,0,0,0,,,,0.000487,0.188,2.43,
ENSG00000196604,POTE ankyrin domain family member F,16,27,0,0,0,0,,,,0.000488,0.188,2.38,
ENSG00000164434,fatty acid binding protein 7,6,4,0,0,0,0,,,,0.000553,0.206,6.02,
ENSG00000160218,trafficking protein particle complex 10,11,8,0,0,0,0,,,,0.000557,0.206,5.52,
ENSG00000160951,prostaglandin E receptor 1,6,0,0,0,1,1,,,,0.000585,0.212,Infinity,4.01
ENSG00000197136,pecanex 3,12,12,0,0,0,0,,,,0.000637,0.225,4.02,
ENSG00000113161,3-hydroxy-3-methylglutaryl-CoA reductase,10,9,0,0,9,51,,,1,0.000644,0.225,4.46,0.708
ENSG00000153956,calcium voltage-gated channel auxiliary subunit alpha2delta 1,8,7,0,0,2,12,,,,0.00068,0.233,4.59,0.669
ENSG00000096063,SRSF protein kinase 1,11,14,0,0,0,0,,,,0.000694,0.233,3.15,
ENSG00000177462,olfactory receptor family 2 subfamily T member 8,6,2,0,0,0,0,,,,0.00079,0.258,12,
ENSG00000015171,zinc finger MYND-type containing 11,8,7,3,5,5,13,1,,,0.000802,0.258,4.02,1.54
ENSG00000139636,limb development membrane protein 1 like,20,29,0,0,0,0,,,,0.000812,0.258,2.77,
ENSG00000143603,potassium calcium-activated channel subfamily N member 3,6,4,0,0,8,43,,,,0.000908,0.282,6.02,0.747
ENSG00000165300,SLIT and NTRK like family member 5,5,3,0,0,0,0,,,,0.000917,0.282,6.69,
ENSG00000077713,solute carrier family 25 member 43,5,1,0,0,0,0,,,,0.000932,0.282,20.1,
ENSG00000163993,S100 calcium binding protein P,5,3,0,0,0,0,,,,0.000984,0.293,6.69,
ENSG00000117280,"RAB29, member RAS oncogene family",4,1,0,0,0,0,,,,0.00106,0.302,16.1,
ENSG00000139826,abhydrolase domain containing 13,6,2,0,0,0,0,,,,0.00106,0.302,12,
ENSG00000133858,zinc finger C3H1-type containing,11,10,0,0,0,0,,,,0.00107,0.302,4.42,
ENSG00000122557,HERPUD family member 2,6,0,0,0,0,0,,,,0.00108,0.302,Infinity,
ENSG00000055917,pumilio RNA binding family member 2,12,15,0,0,0,0,,,,0.00114,0.314,3.21,
ENSG00000151151,inositol polyphosphate multikinase,4,1,0,0,0,0,,,,0.00136,0.367,16.1,
ENSG00000127603,microtubule actin crosslinking factor 1,16,19,1,12,5,35,,,,0.00138,0.37,2.2,0.573
ENSG00000164164,OTU deubiquitinase 4,6,6,0,0,0,0,,,,0.00148,0.375,4.01,
ENSG00000101126,activity dependent neuroprotector homeobox,4,1,0,0,0,0,,,,0.00149,0.375,16.1,
ENSG00000114646,chondroitin sulfate proteoglycan 5,6,1,0,0,0,1,,,,0.0015,0.375,24.1,0
ENSG00000170035,ubiquitin conjugating enzyme E2 E3,1,1,5,2,4,4,,,,0.00151,0.375,8.03,4.01
ENSG00000134376,crumbs cell polarity complex component 1,23,40,0,0,0,0,,,,0.00152,0.375,2.31,
ENSG00000018625,ATPase Na+/K+ transporting subunit alpha 2,10,10,3,3,14,54,,,,0.00153,0.375,4.02,1.04
ENSG00000164104,high mobility group box 2,3,0,0,0,2,1,,,,0.00155,0.375,Infinity,8.03
ENSG00000007062,prominin 1,22,35,0,0,0,0,,,,0.0016,0.382,2.52,
ENSG00000172171,"transcription elongation factor, mitochondrial",14,16,0,0,0,0,,,,0.00171,0.403,3.51,
ENSG00000126861,oligodendrocyte myelin glycoprotein,6,4,0,0,0,0,,,,0.00177,0.411,6.02,
ENSG00000100105,POZ/BTB and AT hook containing zinc finger 1,5,0,0,0,9,38,,,,0.00189,0.433,Infinity,0.951
ENSG00000080802,CCR4-NOT transcription complex subunit 4,3,0,0,0,7,14,,,,0.00192,0.433,Infinity,2.01
ENSG00000179915,neurexin 1,10,8,0,0,1,8,,,,0.00194,0.433,5.02,0.502
ENSG00000105639,Janus kinase 3,17,22,0,0,9,15,,,,0.00197,0.433,3.1,2.41
ENSG00000102038,"SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily a, member 1",4,0,0,0,1,6,,,,0.00199,0.433,Infinity,0.669
ENSG00000102804,TSC22 domain family member 1,7,2,0,0,0,0,,,,0.00201,0.433,14,
ENSG00000159259,chromatin assembly factor 1 subunit B,5,3,0,0,4,8,,,,0.00206,0.433,6.69,2.01
ENSG00000198626,ryanodine receptor 2,20,41,0,0,17,31,1,,,0.00208,0.433,1.96,2.2
ENSG00000104853,CLPTM1 regulator of GABA type A receptor forward trafficking,9,8,0,0,4,18,,,,0.00211,0.433,4.52,0.892
ENSG00000099821,RNA polymerase mitochondrial,3,54,0,0,6,19,,,,0.00212,0.433,0.223,1.27
ENSG00000162441,leucine zipper and CTNNBIP1 domain containing,12,9,0,0,0,0,,,,0.00214,0.433,5.35,
ENSG00000038219,biorientation of chromosomes in cell division 1 like 1,17,23,1,4,0,2,,,,0.00216,0.433,2.68,0
ENSG00000166847,dynactin subunit 5,13,10,0,0,1,12,,,,0.00219,0.433,5.22,0.334
ENSG00000197360,zinc finger protein 98,10,12,0,0,18,21,,,,0.00219,0.433,3.35,3.44
ENSG00000100567,proteasome 20S subunit alpha 3,4,1,0,0,4,8,,,,0.00224,0.435,16.1,2.01
ENSG00000154252,galactose-3-O-sulfotransferase 2,11,11,0,0,0,0,,,,0.00226,0.435,4.01,
ENSG00000116698,SMG7 nonsense mediated mRNA decay factor,7,3,0,0,7,14,,,,0.00235,0.444,9.37,2.01
ENSG00000105835,nicotinamide phosphoribosyltransferase,6,4,1,0,8,17,,,,0.00236,0.444,7.03,1.89
ENSG00000010818,HIVEP zinc finger 2,5,6,3,1,3,4,,1,,0.00238,0.444,5.16,3.01
ENSG00000205085,family with sequence similarity 71 member F2,10,9,0,0,0,0,,,,0.0024,0.445,4.46,
ENSG00000149346,SLX4 interacting protein,18,27,0,0,0,0,,,,0.00243,0.445,2.68,
ENSG00000248383,"protocadherin alpha subfamily C, 1",23,42,0,0,0,0,,,,0.00251,0.456,2.2,
ENSG00000187240,dynein cytoplasmic 2 heavy chain 1,50,121,0,0,0,0,,,,0.00254,0.457,1.66,
ENSG00000115966,activating transcription factor 2,4,1,0,2,3,4,,,,0.00267,0.472,5.35,3.01
ENSG00000198218,glutamine rich 1,4,2,0,0,2,11,,,,0.00268,0.472,8.03,0.73
ENSG00000214050,F-box protein 16,14,21,0,0,0,0,,,,0.0027,0.472,2.68,
ENSG00000116254,chromodomain helicase DNA binding protein 5,6,10,2,1,49,111,,,1,0.00277,0.474,2.92,1.77
ENSG00000173876,,16,28,2,6,14,44,,,1,0.00277,0.474,2.13,1.28
ENSG00000173933,RNA binding motif protein 4,5,3,0,2,10,13,,,,0.00291,0.493,4.01,3.09
ENSG00000179979,,25,47,0,0,0,0,,,,0.00297,0.493,2.14,
ENSG00000155330,chromosome 16 open reading frame 87,4,1,0,0,1,0,,,,0.003,0.493,16.1,Infinity
ENSG00000108671,"proteasome 26S subunit, non-ATPase 11",7,4,0,0,2,10,,,,0.00304,0.493,7.03,0.803
ENSG00000181143,"mucin 16, cell surface associated",129,466,0,0,0,0,1,,,0.00305,0.493,1.11,
ENSG00000182568,SATB homeobox 1,7,2,0,0,16,52,,,,0.00306,0.493,14,1.24
ENSG00000142784,WD and tetratricopeptide repeats 1,4,2,0,0,20,42,,,,0.00309,0.493,8.03,1.91
ENSG00000147526,transforming acidic coiled-coil containing protein 1,13,21,0,0,0,0,,,,0.0031,0.493,2.49,
ENSG00000065000,adaptor related protein complex 3 subunit delta 1,8,9,0,0,10,38,,,,0.00313,0.494,3.57,1.06
ENSG00000125823,cystatin like 1,7,7,0,0,0,0,,,,0.00321,0.498,4.01,
ENSG00000164458,T-box transcription factor T,8,12,0,0,6,31,,,,0.00322,0.498,2.68,0.777
ENSG00000196689,transient receptor potential cation channel subfamily V member 1,3,53,0,0,0,0,,,,0.00324,0.498,0.227,
ENSG00000171735,calmodulin binding transcription activator 1,5,4,0,0,0,0,,,,0.00327,0.498,5.02,
ENSG00000166960,coiled-coil domain containing 178,21,33,0,0,0,0,,,,0.00336,0.503,2.56,
ENSG00000087128,transmembrane serine protease 11E,11,14,0,0,0,0,,,,0.00338,0.503,3.15,
ENSG00000133216,EPH receptor B2,5,3,0,0,1,2,,,,0.00341,0.503,6.69,2.01
ENSG00000171502,collagen type XXIV alpha 1 chain,18,146,0,0,0,0,,,,0.00341,0.503,0.494,
ENSG00000146872,tousled like kinase 2,5,1,0,2,16,39,,,1,0.00345,0.504,6.69,1.65
ENSG00000148840,PPARG related coactivator 1,6,6,0,0,2,1,,,,0.0035,0.506,4.01,8.03
ENSG00000084731,kinesin family member 3C,7,3,0,0,0,0,,,,0.00352,0.506,9.37,
ENSG00000008083,jumonji and AT-rich interaction domain containing 2,6,5,0,0,21,90,,,1,0.00365,0.521,4.82,0.981
ENSG00000196455,phosphoinositide-3-kinase regulatory subunit 4,10,12,1,5,2,4,,,,0.00367,0.521,2.6,2.01
ENSG00000169398,protein tyrosine kinase 2,8,6,0,1,4,11,,,,0.00374,0.525,4.59,1.46
ENSG00000136002,Rho guanine nucleotide exchange factor 4,10,15,0,0,16,29,,,,0.00376,0.525,2.68,2.22
ENSG00000112144,ciliogenesis associated kinase 1,14,17,0,0,0,0,,,,0.00382,0.525,3.31,
ENSG00000101158,negative elongation factor complex member C/D,12,15,0,0,2,9,,,,0.00383,0.525,3.21,0.892
ENSG00000106331,paired box 4,9,5,0,0,0,0,,,,0.00385,0.525,7.23,
ENSG00000113916,BCL6 transcription repressor,3,2,3,2,5,19,,,,0.00406,0.547,6.02,1.06
ENSG00000173230,golgin B1,37,81,0,0,0,0,,,,0.00407,0.547,1.83,
ENSG00000165322,Rho GTPase activating protein 12,9,9,0,0,0,0,,,,0.0041,0.547,4.01,
ENSG00000165271,nucleolar protein 6,16,11,0,0,0,0,,,,0.00418,0.552,5.84,
ENSG00000160882,cytochrome P450 family 11 subfamily B member 1,13,19,0,0,0,0,,,,0.00422,0.552,2.75,
ENSG00000189050,"ring finger protein, transmembrane 1",14,23,0,0,0,0,,,,0.00423,0.552,2.44,
ENSG00000167601,AXL receptor tyrosine kinase,12,17,0,0,0,0,,,,0.00442,0.56,2.83,
ENSG00000112232,"KH RNA binding domain containing, signal transduction associated 2",8,9,0,0,0,0,,,,0.00444,0.56,3.57,
ENSG00000105821,DnaJ heat shock protein family (Hsp40) member C2,9,9,0,0,0,0,,,,0.00446,0.56,4.01,
ENSG00000070961,ATPase plasma membrane Ca2+ transporting 1,5,4,2,1,14,72,,,1,0.00448,0.56,5.62,0.78
ENSG00000162337,LDL receptor related protein 5,15,21,0,0,0,0,,,,0.00451,0.56,2.87,
ENSG00000124201,zinc finger NFX1-type containing 1,18,32,0,0,0,0,,,,0.00452,0.56,2.26,
ENSG00000072071,adhesion G protein-coupled receptor L1,9,7,0,0,19,68,,,,0.00453,0.56,5.16,1.12
ENSG00000167105,transmembrane protein 92,4,0,0,0,0,0,,,,0.00454,0.56,Infinity,
ENSG00000169750,Rac family small GTPase 3,5,2,0,0,2,5,,,,0.00461,0.565,10,1.61
ENSG00000150768,dihydrolipoamide S-acetyltransferase,15,23,0,0,0,0,,,,0.00465,0.567,2.62,
ENSG00000157778,proteasome assembly chaperone 3,6,2,0,0,0,0,,,,0.0047,0.567,12,
ENSG00000136868,solute carrier family 31 member 1,5,3,0,0,0,0,,,,0.00472,0.567,6.69,
ENSG00000142208,AKT serine/threonine kinase 1,4,4,3,3,10,21,,,,0.00485,0.567,4.01,1.91
ENSG00000141905,nuclear factor I C,5,4,0,2,14,28,,,,0.00488,0.567,3.35,2.01
ENSG00000010017,RAN binding protein 9,3,0,0,0,6,30,,,,0.00492,0.567,Infinity,0.803
ENSG00000186665,chromosome 17 open reading frame 58,5,4,0,0,0,0,,,,0.00494,0.567,5.02,
ENSG00000113712,casein kinase 1 alpha 1,2,0,3,3,3,7,,,,0.00497,0.567,6.69,1.72
ENSG00000108839,"arachidonate 12-lipoxygenase, 12S type",4,55,0,0,0,0,,,,0.00504,0.567,0.292,
ENSG00000164061,bassoon presynaptic cytomatrix protein,17,16,0,0,0,0,,,,0.00505,0.567,4.27,
ENSG00000173175,adenylate cyclase 5,7,6,5,12,30,76,,,,0.00505,0.567,2.68,1.59
ENSG00000172660,,12,14,0,0,5,25,,,,0.00508,0.567,3.44,0.803
ENSG00000124608,"alanyl-tRNA synthetase 2, mitochondrial",29,60,0,0,0,0,,,,0.00511,0.567,1.94,
ENSG00000111052,"lin-7 homolog A, crumbs cell polarity complex component",7,7,0,0,0,0,,,,0.00513,0.567,4.01,
ENSG00000164794,potassium voltage-gated channel modifier subfamily V member 1,1,1,5,1,11,31,,,,0.00516,0.567,12,1.42
ENSG00000130382,MLLT1 super elongation complex subunit,2,0,2,0,8,18,,,,0.00518,0.567,Infinity,1.78
ENSG00000197535,myosin VA,15,20,0,0,11,59,,,,0.00518,0.567,3.01,0.748
ENSG00000198933,TBK1 binding protein 1,10,10,0,0,0,0,,,,0.00519,0.567,4.01,
ENSG00000120693,SMAD family member 9,13,18,0,0,0,0,,,,0.0053,0.576,2.9,
ENSG00000178974,F-box protein 34,10,10,0,0,0,0,,,,0.00535,0.578,4.01,
ENSG00000100890,protein only RNase P catalytic subunit,15,23,0,0,0,0,,,,0.00546,0.586,2.62,
ENSG00000163104,"SWI/SNF-related, matrix-associated actin-dependent regulator of chromatin, subfamily a, containing DEAD/H box 1",4,3,0,0,7,14,,,,0.00549,0.586,5.35,2.01
ENSG00000187258,neuropeptide S receptor 1,12,18,0,0,0,0,,,,0.00556,0.59,2.68,
ENSG00000163960,UBX domain protein 7,2,1,3,1,5,15,,,,0.00565,0.595,10,1.34
ENSG00000130340,sorting nexin 9,8,9,0,0,1,35,,,,0.00569,0.595,3.57,0.115
ENSG00000178171,APC membrane recruitment protein 3,11,13,0,0,0,0,,,,0.00573,0.595,3.4,
ENSG00000130810,peter pan homolog,5,61,0,0,0,0,,,,0.00574,0.595,0.329,
ENSG00000146021,kelch like family member 3,3,2,0,0,3,2,,,,0.00582,0.6,6.02,6.02
ENSG00000178175,zinc finger protein 366,0,21,0,1,3,27,,,,0.00586,0.601,0,0.446
ENSG00000171587,DS cell adhesion molecule,7,6,0,0,0,0,,,,0.00607,0.618,4.68,
ENSG00000180543,TSPY like 5,6,1,0,0,1,2,,,,0.00617,0.624,24.1,2.01
ENSG00000178591,defensin beta 125,5,3,0,0,0,0,,,,0.00619,0.624,6.69,
ENSG00000165209,spermatid perinuclear RNA binding protein,6,2,0,0,6,17,,,,0.00628,0.628,12,1.42
ENSG00000174672,BR serine/threonine kinase 2,3,2,0,0,9,40,,,,0.0063,0.628,6.02,0.903
ENSG00000225190,pleckstrin homology and RUN domain containing M1,8,14,0,0,10,28,,,,0.00634,0.629,2.29,1.43
ENSG00000109674,nei like DNA glycosylase 3,20,37,0,0,0,0,,,,0.0064,0.631,2.17,
ENSG00000108018,sortilin related VPS10 domain containing receptor 1,12,14,0,0,6,27,,,,0.00646,0.631,3.44,0.892
ENSG00000145362,ankyrin 2,15,20,0,0,1,1,,,,0.00647,0.631,3.01,4.01
ENSG00000125484,general transcription factor IIIC subunit 4,5,2,0,0,3,16,,,,0.00662,0.642,10,0.753
ENSG00000141639,mitogen-activated protein kinase 4,7,4,0,0,2,1,,,,0.00674,0.648,7.03,8.03
ENSG00000064651,solute carrier family 12 member 2,12,16,0,0,2,10,,,,0.00675,0.648,3.01,0.803
ENSG00000123643,solute carrier family 36 member 1,11,17,0,0,0,0,,,,0.00678,0.648,2.6,
ENSG00000163995,actin binding LIM protein family member 2,13,15,0,0,0,0,,,,0.00686,0.652,3.48,
ENSG00000131016,A-kinase anchoring protein 12,1,35,0,0,0,0,,,,0.00713,0.667,0.115,
ENSG00000162419,glucocorticoid modulatory element binding protein 1,2,0,1,0,2,4,,,,0.00714,0.667,Infinity,2.01
ENSG00000162378,"zyg-11 family member B, cell cycle regulator",6,7,0,0,12,28,,,,0.00715,0.667,3.44,1.72
ENSG00000197217,ectonucleoside triphosphate diphosphohydrolase 4,17,39,0,0,0,0,,,,0.00718,0.667,1.75,
ENSG00000176102,cleavage stimulation factor subunit 3,6,8,2,2,10,26,,,,0.00722,0.667,3.21,1.54
ENSG00000242259,chromosome 22 open reading frame 39,4,1,0,0,0,0,,,,0.00726,0.667,16.1,
ENSG00000076382,sperm associated antigen 5,23,45,0,0,0,0,,,,0.00728,0.667,2.05,
ENSG00000183155,RAB interacting factor,6,4,0,0,0,0,,,,0.00735,0.669,6.02,
ENSG00000147669,RNA polymerase II subunit K,6,4,0,0,0,0,,,,0.00744,0.669,6.02,
ENSG00000151067,calcium voltage-gated channel subunit alpha1 C,6,4,0,0,31,85,,,,0.00744,0.669,6.02,1.46
ENSG00000102786,integrator complex subunit 6,3,0,1,1,10,33,,,,0.00748,0.669,16.1,1.22
ENSG00000135525,microtubule associated protein 7,11,14,0,0,0,0,,,,0.00749,0.669,3.15,
ENSG00000185803,solute carrier family 52 member 2,0,23,0,0,0,0,,,,0.00757,0.672,0,
ENSG00000137441,fibroblast growth factor binding protein 2,11,14,0,0,0,0,,,,0.00759,0.672,3.15,
ENSG00000185404,SP140 nuclear body protein like,2,38,1,15,1,1,,,,0.00764,0.672,0.227,4.01
ENSG00000147601,telomeric repeat binding factor 1,8,5,0,0,0,0,,,,0.00767,0.672,6.42,
ENSG00000180974,olfactory receptor family 52 subfamily E member 4,7,9,0,0,0,0,,,,0.00778,0.676,3.12,
ENSG00000130182,zinc finger and SCAN domain containing 10,7,9,0,0,4,32,,,,0.00782,0.676,3.12,0.502
ENSG00000182108,Dexi homolog,2,0,0,0,4,9,,,,0.00782,0.676,Infinity,1.78
ENSG00000159692,C-terminal binding protein 1,1,1,3,1,7,15,,,,0.00789,0.679,8.03,1.87
ENSG00000063176,sphingosine kinase 2,1,24,0,0,0,0,,,,0.00801,0.681,0.167,
ENSG00000007545,cramped chromatin regulator homolog 1,7,7,0,0,1,4,,,,0.00802,0.681,4.01,1
ENSG00000109790,kelch like family member 5,3,49,0,0,0,0,,,,0.00806,0.681,0.246,
ENSG00000065243,protein kinase N2,5,4,0,0,0,0,,,,0.0081,0.681,5.02,
ENSG00000139990,DDB1 and CUL4 associated factor 5,3,1,0,0,20,33,,,,0.00811,0.681,12,2.43
ENSG00000150361,kelch like family member 1,0,31,0,0,0,0,,,,0.00814,0.681,0,
ENSG00000102053,zinc finger CCCH-type containing 12B,4,1,0,0,0,0,,,,0.00821,0.684,16.1,
ENSG00000007237,growth arrest specific 7,7,5,0,0,4,10,,,,0.00825,0.684,5.62,1.61
ENSG00000152433,zinc finger protein 547,2,41,0,0,0,0,,,,0.00831,0.685,0.196,
ENSG00000166025,angiomotin like 1,11,15,0,0,0,0,,,,0.00843,0.692,2.94,
ENSG00000110076,neurexin 2,10,9,0,0,11,44,,,,0.00867,0.698,4.46,1
ENSG00000132005,regulatory factor X1,5,2,0,0,4,28,,,,0.00871,0.698,10,0.573
ENSG00000168685,interleukin 7 receptor,9,23,0,0,0,0,,,,0.00871,0.698,1.57,
ENSG00000006756,arylsulfatase D,7,6,0,0,0,0,,,,0.00875,0.698,4.68,
ENSG00000146938,neuroligin 4 X-linked,4,1,0,0,32,82,,,,0.00876,0.698,16.1,1.57
ENSG00000119326,catenin alpha like 1,19,30,0,0,0,0,,,,0.0088,0.698,2.54,
ENSG00000105492,sialic acid binding Ig like lectin 6,1,26,0,0,0,0,,,,0.00882,0.698,0.154,
ENSG00000273439,,8,10,0,0,0,0,,,,0.00886,0.698,3.21,
ENSG00000163092,xin actin binding repeat containing 2,62,166,0,0,0,0,,,,0.00888,0.698,1.5,
ENSG00000058056,ubiquitin specific peptidase 13,16,27,0,0,0,0,,,,0.00889,0.698,2.38,
ENSG00000174718,retroelement silencing factor 1,33,57,0,0,0,0,,,,0.00898,0.701,2.33,
ENSG00000196453,zinc finger protein 777,5,0,2,10,5,19,,,,0.009,0.701,2.81,1.06
ENSG00000152034,melanin concentrating hormone receptor 2,8,9,0,0,0,0,,,,0.00906,0.702,3.57,
ENSG00000114113,retinol binding protein 2,4,1,0,0,0,0,,,,0.00923,0.713,16.1,
ENSG00000157927,Rap associating with DIL domain,3,41,0,0,0,0,,,,0.00927,0.713,0.294,
ENSG00000138814,protein phosphatase 3 catalytic subunit alpha,3,2,0,0,8,30,,,,0.0094,0.718,6.02,1.07
ENSG00000009307,cold shock domain containing E1,5,5,0,0,6,4,,,,0.00942,0.718,4.01,6.02
ENSG00000163873,glutamate ionotropic receptor kainate type subunit 3,5,2,0,0,0,4,,,,0.00949,0.718,10,0
ENSG00000127125,phosphopantothenoylcysteine synthetase,10,8,0,0,0,2,,,,0.00955,0.718,5.02,0
ENSG00000092820,ezrin,10,13,0,0,0,0,,,,0.00957,0.718,3.09,
ENSG00000198513,atlastin GTPase 1,6,3,0,0,1,0,,,,0.00958,0.718,8.03,Infinity
ENSG00000145949,myosin light chain kinase family member 4,1,33,0,0,0,0,,,,0.0097,0.722,0.122,
ENSG00000146729,nipsnap homolog 2,12,18,0,0,0,0,,,,0.0097,0.722,2.68,
ENSG00000103429,bifunctional apoptosis regulator,10,13,0,0,0,0,,,,0.01,0.742,3.09,
ENSG00000102606,Rho guanine nucleotide exchange factor 7,7,4,0,0,1,2,,,,0.0101,0.742,7.03,2.01
ENSG00000175274,tumor protein p53 inducible protein 11,4,3,0,0,9,26,,,,0.0101,0.742,5.35,1.39
ENSG00000215271,homeobox and leucine zipper encoding,6,7,0,0,0,0,,,,0.0101,0.742,3.44,
ENSG00000111783,regulatory factor X4,4,2,0,0,0,0,,,,0.0102,0.744,8.03,
ENSG00000106302,hyaluronidase 4,11,14,0,0,0,0,,,,0.0104,0.75,3.15,
ENSG00000125386,family with sequence similarity 193 member A,4,2,0,0,7,26,,,,0.0104,0.75,10,1.08
